Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Hospitality & Travel,Jawa,0,1,50000000,80000000
Hospitality & Travel,Jawa,0,0,5500000,6000000
Factory and Manufacturer,Jakarta,0,0,5000000,6500000
Factory and Manufacturer,Jakarta,0,0,4000000,4200000
Hospitality & Travel,Jawa,0,0,4600000,5000000
Sales,Sumatera,0,1,4000000,8000000
Business,Jakarta,0,0,3500000,4000000
Administration,Jawa,0,1,4600000,6000000
Business,Jawa,0,1,2500000,5000000
Sales,Jawa,0,1,3750000,7000000
Sales,Jakarta,0,1,5500000,7000000
Internet & New Media,Jawa,0,0,200000,1000000
Administration,Jakarta,0,0,200000,1000000
Research & Development,Jawa,0,0,3000000,3500000
Internet & New Media,Bali dan Nusa Tenggara,0,0,3000000,4000000
"Accounting, Finance, Banking",Jakarta,0,0,2500000,3500000
Other,Jakarta,0,0,3500000,4000000
Sales,Jakarta,0,1,4500000,5500000
Sales,Jakarta,0,0,200000,1000000
Other,Jakarta,0,1,4600000,4650000
