Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
Sales BEST Area Surabaya,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Ternate - Ternate,IDR 3.000.000 - 4.000.000,2 tahun
Field Education Consultant (FEC) - Ternate,PT Artha Demo Engineering Consultant,Konsultan,head office - Bandung,Gaji Kompetitif,0 tahun
Staff Ahli Teknik Lingkungan,PT Adiwisista Finansial Teknologi,"TI, Programmer",Bandung - Bandung,Gaji Kompetitif,Setidaknya 1 tahun
Java Developer,PT Innovation Hongtai Technology,Penerjemah,head office - Tangerang,IDR 8.000.000 - 12.000.000,Setidaknya 1 tahun
TRANSLATOR MANDARIN/ Assistan Manager,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Jakarta Head Office - Jakarta Selatan,IDR 8.000.000 - 12.000.000,Setidaknya 1 tahun
Field Sales Agent (Jakarta Barat),PT Nusantara Duta Solusindo,"TI, Programmer",Head Office - Jakarta Barat,IDR 4.600.000 - 5.000.000,Setidaknya 1 tahun
.Net Developer / Programmer,PT Innovation Hongtai Technology,Penjualan dan Pemasaran,head office - Tangerang,Gaji Kompetitif,2 tahun
Field Sales - JAKARTA,Bali Hai Brewing Co,"Keuangan, Analis",Surabaya - Surabaya,IDR 3.000.000 - 7.000.000,Setidaknya 1 tahun
Admin Piutang BEST Surabaya,PT Innovation Hongtai Technology,Komunikasi,head office - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
LIVE STREAMING Online Shop,PT Lawencon,"Teknik, Perangkat Lunak",head office - Jakarta Selatan,IDR 3.000.000 - 5.000.000,Setidaknya 1 tahun
FRONT END DEVELOPER,PT Elabram Systems,Administrasi,Prov. Jawa Barat - Prov. Jawa Barat,Gaji Kompetitif,Setidaknya 1 tahun
Store Specialist (Cirebon),PT Asuransi Ramayana Tbk,Pemasaran (Teknis),PT Asuransi Ramayana Tbk - Prov. DKI-Jakarta,IDR 2.000.000 - 2.300.000,Setidaknya 1 tahun
Staf Marketing,PT Sinergi Cipta Ananta (Baroroh Elbariah),Management Trainee,FP One - Jakarta Pusat,Gaji Kompetitif,0 tahun
Marketing For Business Insurance (YN),PT Mitra Adi Persada,Manufaktur dan Produksi,Head Office Surabaya - Surabaya,IDR 1.000.000 - 10.000.000,2 tahun
Process Development Officer,PT Artha Demo Engineering Consultant,Arsitek,head office - Bandung,Gaji Kompetitif,Setidaknya 1 tahun
Staff Ahli Arsitek Lanscape,PT Innovation Hongtai Technology,Pemasaran Internet,head office - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
SALES SUPORT - WANITA,PT Valbury Asia Futures,Penjualan dan Pemasaran,Menara Karya - Jakarta Selatan,IDR 2.500.000 - 7.000.000,Setidaknya 1 tahun
Marketing Executive,Yayasan Tadika Puri,Pengembangan Produk,head office - Jakarta Selatan,IDR 2.500.000 - 5.000.000,0 tahun
Marketing Samarinda (Kalimantan Timur),PT Bangun Sumberdaya Mandiri,Penjualan dan Pemasaran,Samarinda - Samarinda,Gaji Kompetitif,Setidaknya 1 tahun
Assistant Product Development Manager,PT Solusindo Bintang Pratama,Penjualan dan Pemasaran,head office - Jakarta Selatan,IDR 3.137.675 - 5.000.000,3 tahun
SVP Store,PT Daya Eka Samudera Jakarta,Akuntan Perpajakan,head office - Jakarta Barat,IDR 4.000.000 - 6.000.000,Setidaknya 1 tahun
ACCOUNT EXECUTIVE (AREA JAKARTA),PT K&D Electronics Indonesia,Komunikasi,head office - Bekasi,Gaji Kompetitif,3 tahun
Senior Staff Akuntansi dan Pajak,PERSOLKELLY Recruitment Indonesia,Penjualan dan Pemasaran,Jakarta Selatan - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Leader Quality,Armatasoft,"Teknik, Perangkat Lunak",head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Medical Sales Representative,PT Mitra Adi Persada,Administrasi Export,Head Office Surabaya - Surabaya,Gaji Kompetitif,2 tahun
React JS Developer,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Admin Export Import,PT Tabitha Express,Kurir,Bali - ,Gaji Kompetitif,2 tahun
Mitra P2D/WOPI – DKI Jakarta,Harapan Bangsa Balikpapan,Guru / Tutor,head office - Prov. Kalimantan Timur,IDR 3.000.000 - 4.500.000,Setidaknya 1 tahun
STAFF OPERASIONAL EKSPEDISI AREA BALI,PT Intrias Mandiri Sejati (IMS),Administrasi,head office - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
Mathematics Teacher,PT. Karka Abisatya Mataram,Akuntan Perpajakan,Yogyakarta - Yogyakarta,IDR 4.400.000 - 5.500.000,2 tahun
Finance Investment Back Office,PT Creatorz Media Network,Administrasi,head office - Tangerang,IDR 2.000.000 - 3.500.000,Setidaknya 1 tahun
STAF PAJAK & KEUANGAN,PT Imecon Teknindo,"Akuntansi, Keuangan",Jakarta Selatan  - Jakarta Selatan,Gaji Kompetitif,2 tahun
Operational and Admin Staff,PT Bolde Indonesia,Supir,head office - Tangerang,IDR 5.000.000 - 6.500.000,0 tahun
Temporer Treasury ,PT Recruit First Indonesia,Sumber Daya Manusia,head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Driver Logistik,PT Mitra Kreasi Nusantara Sejahtera,Fresh Graduate,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
HR Manager,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,IDR 4.400.000 - 53.000.090,3 tahun
Resepsionis kantor,PT Sinergi Performa Cipta,"Akuntansi, Keuangan",KOTA KASABLANKA - Jakarta Selatan,Gaji Kompetitif,0 tahun
Mitra P2D/WOPI - Balikpapan,PT Nusantara Duta Solusindo,"TI, Systems Analyst",Head Office - Jakarta Barat,IDR 5.000.000 - 6.000.000,Setidaknya 1 tahun
Staff Finance,Sumber Daya Menamas Prime Resources,"Teknik, Elektro ",head office - Jakarta Selatan,IDR 5.000.000 - 15.000.000,3 tahun
Application Quality Assurance / Tester,PT Bolde Indonesia,Penjualan dan Pemasaran,Manado - Manado,IDR 2.100.000 - 2.200.000,0 tahun
Teknisi Barang Elektronik - Cirebon,PT Asuransi Jiwa Astra,Penjualan dan Pemasaran,Bogor - Bogor,Gaji Kompetitif,Setidaknya 1 tahun
Sales Elektronik,PT Asuransi Jiwa Astra,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Professional Financial Consultant Area Bogor,PT Kartikawira Adisukses,Pemasaran (Teknis),head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Professional Financial Consultant Area Jabodetabek,PT Markija Berdaya Bersama,"TI, Web Developer",head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Key Account For Modern Market,PT Quorum Pacific,Administrasi,head office - Tangerang,Gaji Kompetitif,3 tahun
Senior Java Developer,PT Sahabat Abadi Sejahtera,Komunikasi,head office - Prov. DKI-Jakarta,Gaji Kompetitif,6 tahun
Admin Support,PT Sinergi Performa Cipta,Administrasi,Jambi - Jambi,Gaji Kompetitif,2 tahun
Admin,PT Samyang Indonesia,Investasi dan Keuangan,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Data Entry & Collection Support Coordinator - Jambi (20966),PT Grita Artha Kreamindo,Operator,PT. Grita Artha Kreamindo - Prov. DKI-Jakarta,Gaji Kompetitif,0 tahun
Direktur Operasional ,Yayasan Tarumanagara,Procurement,head office - Jakarta Barat,Gaji Kompetitif,2 tahun
Operator Produksi,"PT Enseval Putera Megatrading, Tbk",Supir,Surabaya - Surabaya,IDR 4.700.000 - 4.800.000,0 tahun
Procurement Staff,PT Muliaform Grafido,Pengembangan Bisnis,head office - Semarang,Gaji Kompetitif,Setidaknya 1 tahun
Driver,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Tangerang - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
SPV Marketing,PT LX Pantos Indonesia,Administrasi,LX Pantos Indonesia - Bekasi,IDR 4.600.000 - 5.000.000,2 tahun
Customer Acquisition Specialist (Tangerang),PT. DEPTECH DIGITAL INDONESIA,"TI, Programmer",head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Exim Staff,PT. DEPTECH DIGITAL INDONESIA,"TI, Systems Analyst",head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Back-End Developer (Java/Golang/Node JS),PT Home Credit Indonesia,Penjualan dan Pemasaran,Tangerang - Tangerang,Gaji Kompetitif,2 tahun
QA Tester (Automation/Manual),PT Srimurni Surabaya,Penjualan dan Pemasaran,head office - Surabaya,IDR 6.000.000 - 10.000.000,2 tahun
Sales counter (SPG/SPB) Tangerang,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Tangerang Selatan - Tangerang,Gaji Kompetitif,0 tahun
SALES PENJUALAN,Eyes Talk,Komunikasi,Head Office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Sales Acquisition (Tangerang) ,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Staf Customer Service (CS),PT Global Sarana Sukses,Komunikasi,head office - Jakarta,IDR 4.600.000 - 5.000.000,Setidaknya 1 tahun
Account executive Class ambasador,PT Rekso Nasional Food (McDonald's Indonesia),Operasi Restoran,Kupang - Kupang,Gaji Kompetitif,Setidaknya 1 tahun
"Sales B2C - Jabodetabek, Bandung, Semarang, Surabaya, Palembang, Lampung, Banjarmasin, Samarinda, Pontianak, Manado",PT Tanu Alvindo Perkasa,Kolektor,Indramayu - ,Gaji Kompetitif,0 tahun
Crew Restoran - Based Kupang,PT LX Pantos Indonesia,"TI, Administrator",LX Pantos Indonesia - Bekasi,IDR 2.300.000 - 5.000.000,0 tahun
Sales Executive,PT Rajawali Anugrah Resources,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
IT Staff,Sumber Daya Menamas Prime Resources,Penjualan dan Pemasaran,head office - Jakarta Selatan,IDR 4.000.000 - 7.000.000,2 tahun
SUPERVISOR TELKOM CIPUTAT DAN CILEDUG ,PT Sejahtera Mitra Solusi,Kolektor,Tabanan - Tabanan,IDR 1.000.000 - 3.300.000,Setidaknya 1 tahun
Sales Rekening Ponsel Bank CIMB Niaga Jabodetabek,PT Sejahtera Mitra Solusi,Kolektor,SINGARAJA - Prov. Bali,Gaji Kompetitif,0 tahun
Mitra P2D/WOPI - TABANAN,PT Elabram Systems,"Akuntansi, Keuangan",head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - SINGARAJA,PT Sejahtera Mitra Solusi,Kolektor,Solo - Solo,IDR 8.000.000 - 10.000.000,Setidaknya 1 tahun
SPV Accounting & Tax (Sukabumi-based),Confidential Company,Pemasaran (Teknis),head office - Jakarta Selatan,Gaji Kompetitif,5 tahun
Mitra P2D/WOPI - SOLO,PT Elabram Systems,"Teknik, Telekomunikasi",Prov. Sulawesi Selatan - Prov. Sulawesi Selatan,Gaji Kompetitif,Setidaknya 1 tahun
DIGITAL MARKETING,Sumber Daya Menamas Prime Resources,"Teknik, Elektro ",Jambi - Jambi,Gaji Kompetitif,2 tahun
OSP Site Engineer,PT Cahaya Tiga Bintang Abadi,Penjualan dan Pemasaran,Jalan Musi - Prov. DKI-Jakarta,IDR 2.900.000 - 3.000.000,3 tahun
Teknisi Service Jambi,PT Danamas Insan Kreasi Andalan (DIKA),Penjualan dan Pemasaran,Jalan Ngagel Jaya Selatan - Surabaya,IDR 4.000.000 - 4.500.000,Setidaknya 1 tahun
Dental Representative,PT SENFIENTA PRIMA TAMA,Pemasaran (Non-Teknis),head office - Jakarta Pusat,IDR 2.000.000 - 4.000.000,Setidaknya 1 tahun
Sales Akuisisi Aplikasi Sparepart,PT Mikatasa Agung,Penjualan dan Pemasaran,Bandung - Bandung,Gaji Kompetitif,Setidaknya 1 tahun
Digital Marketing,PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,Gaji Kompetitif,2 tahun
Sales Representative Industri - Bandung,PT Recruit First Indonesia,Penjualan dan Pemasaran,Balikpapan - Balikpapan,IDR 4.300.000 - 6.000.000,Setidaknya 1 tahun
Marketing Co Branding ,PT Handal Guna Sarana,Logistik,head office - Prov. DKI-Jakarta,IDR 3.000.000 - 3.100.000,Setidaknya 1 tahun
Sales Executive - Balikpapan,PT Valbury Asia Futures,Konsultan,Tunjungan Plaza 5 - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
Kepala Gudang,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Sragen - Sragen,IDR 4.000.000 - 10.000.000,Setidaknya 1 tahun
senior marketing (surabaya),Power Vision,Pemasaran (Non-Teknis),Power Vision - Jakarta Barat,Gaji Kompetitif,0 tahun
"Sales Officer Jateng - Sragen, Karanganyar",PT Elabram Systems,"Teknik, Jaringan",Prov. Jawa Barat - Prov. Jawa Barat,IDR 8.000.000 - 10.000.000,Setidaknya 1 tahun
HEAD OF MARKETING ,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,SERANG - Serang,IDR 2.000.000 - 2.300.000,2 tahun
"Engineer FO (Cirebon, Indramayu, Kuningan)",Confidential Company,Administrasi,Prov. DKI-Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
"Sales Ottopay Area Lebak, Pandeglang, Serang",PT Dana Pinjaman Inklusif,"TI, Web Developer",head office - Jakarta Barat,IDR 4.500.000 - 4.641.854,Setidaknya 1 tahun
Credit Operations Staff,PT Innovation Hongtai Technology,Penjualan dan Pemasaran,head office - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
Mid-Level Java Developer,PT Asuransi Jiwa Astra,Penjualan dan Pemasaran,Bali - Prov. Bali,IDR 13.000.000 - 18.000.000,3 tahun
MANAGER SALES - SURABAYA,MOCA TECHNOLOGY CORPORATION,Pengembangan Bisnis,Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Professional Financial Consultant Area Bali,PT Lawencon,"TI, Programmer",head office - Jakarta Selatan,IDR 15.000.000 - 21.000.000,Setidaknya 1 tahun
 Business Development  (Advertising Sales),PT Lawencon,"TI, Programmer",head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
REACT NATIVE DEVELOPER,PT Recruit First Indonesia,Penjualan dan Pemasaran,Blitar - Blitar,Gaji Kompetitif,Setidaknya 1 tahun
JAVA DEVELOPER,PT Handal Guna Sarana,Logistik,head office - Prov. DKI-Jakarta,IDR 2.000.000 - 2.003.991,Setidaknya 1 tahun
Sales Promotor (Elektronik) ,PT Handal Guna Sarana,Operasi Ritel,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Staff Umum,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Jombang Area - Jombang,Gaji Kompetitif,Setidaknya 1 tahun
Staff Gudang,PT Sejahtera Mitra Solusi,"TI, Programmer",head office - Jakarta Pusat,IDR 2.600.000 - 3.000.000,Setidaknya 1 tahun
Field Sales Agent (Jombang Area),PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Malang - Malang,IDR 6.000.000 - 8.000.000,0 tahun
IT Developer,PT Rajawali Anugrah Resources,Pemasaran Internet,head office - Jakarta Selatan,IDR 3.000.000 - 4.000.000,Setidaknya 1 tahun
Field Sales Agent (Malang Area),PT Intrias Mandiri Sejati (IMS),Manufaktur dan Produksi,head office - Prov. DKI-Jakarta,IDR 4.400.000 - 4.640.000,Setidaknya 1 tahun
Marketing Banyuwangi (Jawa timur),PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,IDR 4.000.000 - 5.000.000,Setidaknya 1 tahun
SALES FIRST MEDIA  GAJI POKOK UMK JAKARTA + FEE,Harapan Bangsa Balikpapan,Guru / Tutor,head office - Prov. Kalimantan Timur,Gaji Kompetitif,Setidaknya 1 tahun
Operator Produksi,PT Imecon Teknindo,"Akuntansi, Keuangan",Head Office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI – Banten,PT Recruit First Indonesia,Penjualan (Teknis),Surabaya - Surabaya,IDR 5.000.000 - 6.500.000,Setidaknya 1 tahun
Science Teachers,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Finance Officer,PT Sahabat Abadi Sejahtera,Komunikasi,head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Sales Promotor,PT Markija Berdaya Bersama,"TI, Web Developer",head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI – Barabai,Yayasan Tarumanagara,"Akuntansi, Keuangan",head office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
INVENTORY CONTROL,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Tangerang Selatan - ,IDR 4.700.000 - 4.800.000,Setidaknya 1 tahun
Senior C++ Developer,Eyes Talk,Komunikasi,Head Office - Jakarta Pusat,IDR 4.600.000 - 5.000.000,10 tahun
Staff Account Payable (A/P),PT Rajawali Anugrah Resources,Penjualan dan Pemasaran,Tangerang - ,Gaji Kompetitif,Setidaknya 1 tahun
Customer Acquisition Specialist (Tangerang Selatan),PT Tanu Alvindo Perkasa,Pemasaran (Non-Teknis),Sukabumi - Sukabumi,IDR 3.500.000 - 5.000.000,0 tahun
Staf Audit,PT Sejahtera Mitra Solusi,Kolektor,Mataram - Mataram,IDR 3.000.000 - 6.000.000,Setidaknya 1 tahun
TELKOM TANGERANG KOTA SALES FORCE ,PT Sejahtera Mitra Solusi,Kolektor,Wonogiri Regency - Surakarta,Gaji Kompetitif,0 tahun
Sales Supervisor,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Solo - Surakarta,Gaji Kompetitif,2 tahun
Mitra P2D/WOPI - MATARAM,PT Era Mulya Citra Warna,Penjualan dan Pemasaran,BANJARNEGARA - Banjarnegara,Gaji Kompetitif,0 tahun
Mitra P2D/WOPI - WONOGIRI,Bisnishack Bahagia Mendunia,Pemasaran Internet,head office - Yogyakarta,Gaji Kompetitif,Setidaknya 1 tahun
Account Officer (Hunter) - Surakarta,Bisnishack Bahagia Mendunia,Editor,head office - Yogyakarta,Gaji Kompetitif,0 tahun
SUPERVISOR BANJARNEGARA,Sumber Daya Menamas Prime Resources,"Teknik, Elektro ",Medan - Medan,Gaji Kompetitif,Setidaknya 1 tahun
Advertiser,PT Danamas Insan Kreasi Andalan (DIKA),Penjualan dan Pemasaran,Jalan Ngagel Jaya Selatan - Surabaya,IDR 3.000.000 - 3.300.000,3 tahun
Video Editor,PT Sejahtera Mitra Solusi,Kolektor,Samarinda - Samarinda,IDR 2.000.000 - 4.000.000,2 tahun
Teknisi Service Medan,PT. Bimasakti Multi Sinergi,"Keuangan, Analis",head office - Sidoarjo,Gaji Kompetitif,Setidaknya 1 tahun
Sales Akuisisi Aplikasi Sparepart,PT SENFIENTA PRIMA TAMA,"TI, Programmer",head office - Jakarta Pusat,IDR 4.300.000 - 4.500.000,Setidaknya 1 tahun
Mitra P2D/WOPI Samarinda,Confidential Company,"Akuntansi, Keuangan",head office - Jakarta,Gaji Kompetitif,0 tahun
Reconciliation & Settlement Specialist,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Klaten - Klaten,IDR 4.500.000 - 60.000.000,Setidaknya 1 tahun
IT Programmer,Power Vision,Pengembangan Bisnis,Power Vision - Jakarta Barat,Gaji Kompetitif,3 tahun
Accounting Staff,PT. Bimasakti Multi Sinergi,"TI, Programmer",head office - Sidoarjo,IDR 6.000.000 - 10.000.000,0 tahun
Sales Officer Jateng - Klaten ,PT Mitra Adi Persada,"Akuntansi, Keuangan",Head Office Surabaya - Surabaya,IDR 5.500.000 - 8.000.000,Setidaknya 1 tahun
Team Leader Marketing,Confidential Company,Administrasi,Semarang - Semarang,IDR 4.000.000 - 4.500.000,2 tahun
Fullstack Developer (Laravel& NodeJS),PT Innovation Hongtai Technology,Pengembangan Bisnis,head office - Tangerang,IDR 5.500.000 - 6.500.000,2 tahun
Staff Accounting,PT Valbury Asia Futures,Penjualan dan Pemasaran,Prov. DKI-Jakarta - Prov. DKI-Jakarta,IDR 4.000.000 - 10.000.000,Setidaknya 1 tahun
Business Specialist ,PT Lawencon,"TI, Administrator",head office - Jakarta Selatan,IDR 2.500.000 - 5.000.000,Setidaknya 1 tahun
Assisten Manager,PT Sinergi Cipta Ananta (Baroroh Elbariah),Penjualan dan Pemasaran,FP One - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Account Executive,PT Anugerah Graha Bersama,Penjualan dan Pemasaran,head office - Jakarta Pusat,IDR 2.000.000 - 20.000.000,Setidaknya 1 tahun
IT SOFTWARE QUALITY ASSURANCE,Confidential Company,Manajemen Operasional,head office - Sidoarjo,IDR 4.500.000 - 5.000.000,Setidaknya 1 tahun
Marketing Eksekutif  Pruventure (YN),PT Usaha Gunabhakti Mandiri,Operasi Ritel,Samarinda - Samarinda,IDR 7.000.000 - 8.500.000,2 tahun
Sales Telemarketing - GAME ONLINE 12 JAM,PT Rajawali Anugrah Resources,Pemasaran Internet,Bandung - Bandung,Gaji Kompetitif,0 tahun
Sales Acquisition / Account Executive Payment Gateway,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,IDR 3.000.000 - 5.000.000,2 tahun
SALES REPRESENTATIVE,Maxon Prime Technology,"Akuntansi, Keuangan",head office - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
Marketing Aceh (Sumatera),Harapan Bangsa Balikpapan,Guru / Tutor,head office - Prov. Kalimantan Timur,Gaji Kompetitif,0 tahun
Leader Sales / Sales Forced Telkom Bandung,PT Sejahtera Mitra Solusi,"Keuangan, Analis",Pondok Gede - Bekasi,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI – Bekasi,PT Sahabat Abadi Sejahtera,Pemasaran (Teknis),head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
STAFF ACCOUNTING PAJAK,Yayasan Tarumanagara,Kreatif / Desain,head office - Jakarta Barat,Gaji Kompetitif,2 tahun
ICT Teacher,Mission Consultancy Services Malaysia SDN BHD,"TI, Network Engineer",Mission Consultancy Services Malaysia Sdn Bhd (1157703-H) - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI – Batulicin,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Depok - Depok,IDR 17.000.000 - 30.000.000,Setidaknya 1 tahun
MARKETING SUPPORT,PT Home Credit Indonesia,Penjualan dan Pemasaran,Bogor - Bogor,IDR 4.600.000 - 5.000.000,0 tahun
Video Editor,PT Tanu Alvindo Perkasa,Operasi Gudang,Depo Purwokerto - Banyumas,IDR 3.000.000 - 5.000.000,3 tahun
ETL ANALYST DEVELOPER (Opportunity Working in Kuala Lumpur),PT Rajawali Anugrah Resources,Penjualan dan Pemasaran,Tangerang - ,IDR 1.700.000 - 2.500.000,0 tahun
Customer Acquisition Specialist (Depok),PT Sejahtera Mitra Solusi,Kolektor,Kupang - Kupang,IDR 3.500.000 - 5.000.000,0 tahun
Sales Promotor Toko (SPG/SPB) Bogor,PT Sejahtera Mitra Solusi,Kolektor,Prov. DI-Yogyakarta - Prov. DI-Yogyakarta,Gaji Kompetitif,Setidaknya 1 tahun
Kepala Gudang,PT Sejahtera Mitra Solusi,Kolektor,Semarang - Semarang,Gaji Kompetitif,0 tahun
TELKOM TANGERANG SALES FORCE ,PT Mitra Adi Persada,"TI, Programmer",Head Office Surabaya - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - KUPANG,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Surabaya - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - YOGYAKARTA,PT Mitra Adi Persada,Pemasaran (Non-Teknis),Head Office Surabaya - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - Semarang,PT Usaha Gunabhakti Mandiri,Penjualan dan Pemasaran,MADURA - ,Gaji Kompetitif,Setidaknya 1 tahun
Programmer,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Sleman - Sleman,IDR 1.939.000 - 5.000.000,0 tahun
Account Officer (Hunter) - Surabaya,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Yogyakarta - Yogyakarta,Gaji Kompetitif,5 tahun
SALES MANAGER,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,Branch Office Bima - Prov. Nusa Tenggara Barat,Gaji Kompetitif,Setidaknya 1 tahun
PRODUK KUNSULTAN - PAMEKASAN,CICA Fashion Thrift,Periklanan / Promosi,head office - Bandung,IDR 2.250.000 - 2.500.000,Setidaknya 1 tahun
Sales Consultant (Sleman),PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,Gaji Kompetitif,Setidaknya 1 tahun
